projectname,clientname,projectscope,yr_closed,newdistcode,cleanschool,newschoolid,CPI_estamount,CPI_contamount,CPI_changeamt,CPI_closedamount,calculated_cost,yr_op1,genenrollment,distkids,CPI_perstu,CPIdist_kid,ctwhite,ctblack,cthispanic,ctReduced_lunch,distctwhite,distctblack,distcthispanic,distctReduced_lunch,maybecanceled,edu_building,career_tech,community1,community2,gen_facilities,admin,new,modern,career_techspending,edu_buildingspending,community1spending,community2spending,gen_facilitiesspending,adminspending,career_techstudent,edu_buildingstudent,community1student,community2student,gen_facilitiesstudent,adminstudent
DOWTOWN BUSINESS MAGNET HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-CLASSROOM BUILDING,14,622710,DOWTOWN BUSINESS MAGNET HIGH,62271007757,394609.8,368335.6,82822.88,451158.4,451158.4,2008,1021,684143,441.879,0.6594505,11,116,717,707,59978,74519,504866,469364,0,1,0,0,0,0,0,0,0,,441.879,,,,,,441.879,,,,
SOUTH REGION HIGH SCHOOL #7,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-GRANDSTAND AND ELEVATOR WITH (4) FIELD LIGHT POLES,15,622710,SOUTH REGION HIGH,62271012124,0,4222080,513250.7,4735330,4735330,2009,156,667315,30354.68,7.096094,0,116,19,125,59448,72377,501867,513043,0,0,0,0,1,1,0,0,0,,,,30354.68,30354.68,,,,,30354.68,30354.68,
GARFIELD COMMUNITY ADULT SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CONSTRUCTION OF 2 SHADE STRUCTURES (PC# 03-106747).,12,622710,GARFIELD COMMUNITY ADULT,62271003037,0,64582.58,,0,64582.58,2007,4595,685249,14.05497,0.0942469,8,13,4524,3985,61671,77938,514197,518046,0,0,0,0,0,1,0,0,0,,,,,14.05497,,,,,,14.05497,
MILLER ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-MOD. C.R. BLDG. (48'X40'; STOCKPILE # 02-106373), MOD. C.R. BLDG. (24'X40'; STOCKPILE # 02-106477)& MOD. R.R. BLDG. (12'X40'; STOCKPILE # 04-106638)",10,622710,MILLER ELEMENTARY,62271003186,212325.9,422268.3,,0,422268.3,2005,1096,727319,385.2813,0.5805819,0,346,858,1136,66438,86362,539906,556015,0,1,0,0,0,1,0,0,0,,385.2813,,,385.2813,,,385.2813,,,385.2813,
OLIVER WENDELL HOLMES MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-RAMP (PC#04-109224), RELOCATION OF 1-CLASSROOM BUILDING (RELOCATABLESTOCK PILE #02-100536), ALTERATIONS TO 1-ADMINISTRATION BUILDING (A#23720)",14,622710,OLIVER WENDELL HOLMES MIDDLE,62271003089,0,225886.3,,0,225886.3,2010,1611,667090,140.215,0.3386144,293,81,906,837,58984,68122,491937,510789,0,1,0,0,0,1,1,0,0,,140.215,,,140.215,140.215,,140.215,,,140.215,140.215
POINT LOMA HIGH SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-RESTROOM/CONCESSIONS BLDG.,14,634320,POINT LOMA HIGH,63432005537,0,1221653,122327.8,1343981,1343981,2011,1988,130719,676.0466,10.28145,940,154,853,1045,31270,14791,60052,86232,0,0,0,0,0,1,0,0,0,,,,,676.0466,,,,,,676.0466,
MILLER HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-SHADE STRUCTURE,11,622710,MILLER HIGH,62271003186,13977.79,7878.393,,0,7878.393,2003,1220,747009,6.457699,0.0105466,0,379,879,1123,70031,90541,537136,555117,0,0,0,0,0,1,0,0,0,,,,,6.457699,,,,,,6.457699,
JOHN MUIR SCHOOL   MODERNIZATION,SAN DIEGO UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-1 - LIBRARY BLDG, 1 - LUNCH SHELTER/S (PC #106667), RETAINING WALL, SITEWORK (BUS TURNAROUND), ALTERATIONS TO 1-1 - K.G. BLDG/S, 1 - M.P./KIT. BLDG, 2 - C.R. BLDG/S , 1 - ADMIN. BLDG",10,634320,JOHN MUIR  MODERNIZATION,63432005487,7465957,6520412,385366.5,0,6905778,2006,271,130627,25482.58,52.86639,59,48,148,200,33891,18387,57587,78732,0,1,0,1,0,1,1,0,0,,25482.58,25482.58,,25482.58,25482.58,,25482.58,25482.58,,25482.58,25482.58
VARIOUS SCHOOLS,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-EXISTINGBLDG/S (INSTALLATION OF NEW F/A SYSTEM),4,622710,VARIOUS S,62271010863,312254.3,0,,0,312254.3,2000,0,721346,,0.4328773,0,0,0,0,72404,93532,496505,520214,0,1,0,0,0,0,0,1,0,,,,,,,,,,,,
SAN DIEGO HIGH SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-FOUR (4) CLASSROOM BUILDINGS (RELOCATABLE),6,634320,SAN DIEGO HIGH,63432005544,528877.9,52887.79,,0,52887.79,2001,2123,141599,24.91182,0.373504,348,264,1316,1114,38291,22906,54613,65684,0,1,0,0,0,0,0,0,0,,24.91182,,,,,,24.91182,,,,
REVERE MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO ENTIRE SCHOOL (FIRE ALARM SYSTEM),5,622710,REVERE MIDDLE,62271003302,159536.7,678756,-43510,0,635246,1998,1712,695885,371.0549,0.9128606,,343,390,,0,93867,466259,0,0,1,0,0,0,1,0,0,0,,371.0549,,,371.0549,,,371.0549,,,371.0549,
JAMES A. GARFIELD SENIOR HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-BRIDGE REPAIR,15,622710,JAMES A. GARFIELD SENIOR HIGH,62271003037,74509.73,582458.7,,0,582458.7,2004,5005,741367,116.3754,0.785655,13,17,4792,3697,68132,88271,541514,558973,0,0,0,0,0,1,0,0,0,,,,,116.3754,,,,,,116.3754,
CARSON SENIOR HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-ADMIN. BLDG, STUDENT STORE, LUNCH SHELTERS., ALTERATIONS TO 1-2 C.R. BLDGS. (J & C), M.P. BLDG. (TOILET UPGRADE)(#20863), ADDITIONS TO 1-C.R. BLDG.(ORAL ARTS)",15,622710,CARSON SENIOR HIGH,62271002899,4245426,5644001,2473787,8117787,8117787,2005,3636,727319,2232.615,11.16125,124,837,1549,1580,66438,86362,539906,556015,0,1,0,1,0,1,1,0,0,,2232.615,2232.615,,2232.615,2232.615,,2232.615,2232.615,,2232.615,2232.615
CASTLEBAY LANE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-CORRECTIVE ACCESS COMPLIANCE WORK FOR A#03-103326 (LUNCH SHELTER PROJECT)., 1-SANITARY BUILDING (A#03-31722)",15,622710,CASTLEBAY LANE ELEMENTARY,62271002905,0,141335.4,,141335.4,141335.4,2013,770,650620,183.5525,0.2172319,321,29,98,64,59934,61377,482081,389786,0,1,0,0,0,1,0,0,0,,183.5525,,,183.5525,,,183.5525,,,183.5525,
GLENFELIZ BOULEVARD EEC,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-SHADE STRUCTURE (PC 03-106747),16,622710,GLENFELIZ BOULEVARD EEC,62271003045,17790.56,136665.9,,136665.9,136665.9,2005,491,727319,278.3419,0.1879036,35,7,400,444,66438,86362,539906,556015,0,0,0,0,0,1,0,0,0,,,,,278.3419,,,,,,278.3419,
DIXIE CANYON COMMUNITY CHARTER -ES,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-SYNTHETIC TURF RESURFACING,15,622710,DIXIE CANYON COMMUNITY CHARTER -ES,62271002959,0,300178.7,6107.39,306286.1,306286.1,2013,707,650620,433.2193,0.4707603,444,67,110,139,59934,61377,482081,389786,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
LITTLEJOHN ELEMENTARY SCHOOL (SAN JUAN UNIFIED SCHOOL DISTRICT),SAN JUAN UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-ADMINISTRATION BUILDING, 1-KINDERGARTEN BUILDING, 2-CLASSROOM BUILDINGS, 1-LIBRARY BUILDING, 1-KITCHEN / MULTI-PURPOSE BUILDING",15,634620,LITTLEJOHN ELEMENTARY,63462005794,0,172481.2,24321.21,196802.4,196802.4,2013,0,48903,,4.024342,0,0,0,0,29108,3641,9586,22405,0,1,0,1,0,0,1,0,0,,,,,,,,,,,,
MIDDLETON STREET ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS [FIRE ALARM UPGRADE],12,622710,MIDDLETON STREET ELEMENTARY,62271003184,0,725791.7,-15115.64,710676.1,710676.1,2007,1548,685249,459.0931,1.037106,1,1,1530,868,61671,77938,514197,518046,0,0,0,0,0,1,0,0,0,,,,,459.0931,,,,,,459.0931,
VARIOUS SCHOOLS,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-VARIOUS BLDG/S AT FROST, PACOIMA, PORTER MIDDLE & SAN FERNANDO HIGH (HVAC)",11,622710,VARIOUS S,62271010863,471646.6,746075,111164.9,0,857239.9,2001,0,735058,,1.166221,0,0,0,0,71178,92096,510367,530100,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
RANCHITO AVENUE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,RELOCATION OF 1-RELOCATABLE PARENT TEACHER CENTER FROM STOCKPILE A# 50180,10,622710,RANCHITO AVENUE ELEMENTARY,62271003297,56331.19,139031,,0,139031,2007,553,685249,251.4123,0.2028912,61,35,468,539,61671,77938,514197,518046,0,1,0,0,0,1,0,0,0,,251.4123,,,251.4123,,,251.4123,,,251.4123,
WADSWORTH AVENUE EEC,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-SHADE STRUCTURE (PC-03-106747), ALTERATIONS TO 1-CHILDREN CENTER (A#22001)",16,622710,WADSWORTH AVENUE EEC,62271003441,0,84694.61,12447.88,97142.49,97142.49,2007,1028,685249,94.49659,0.1417623,0,80,1053,1065,61671,77938,514197,518046,0,0,1,0,0,1,0,0,0,94.49659,,,,94.49659,,94.49659,,,,94.49659,
HORACE MANN MIDDLE SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-CLASSROOM BUILDING (#600, A22376)",10,634320,HORACE MANN MIDDLE,63432005510,900057.9,648466.1,91184.75,0,739650.9,2007,364,131208,2032.008,5.637239,14,61,201,320,32949,17479,57058,79606,0,1,0,0,0,0,0,0,0,,2032.008,,,,,,2032.008,,,,
MEYLER STREET ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-OUTDOOR EQUIPMENT ENCLOSURE., ALTERATIONS TO 1-ASSEMBLY BUILDING (A# 12847).",10,622710,MEYLER STREET ELEMENTARY,62271003182,700664.8,701798.6,99450.53,0,801249.1,2007,914,685249,876.6402,1.169282,34,54,777,759,61671,77938,514197,518046,0,0,0,0,0,1,0,0,0,,,,,876.6402,,,,,,876.6402,
BELLA VISTA ELEMENTARY SCHOOL,OAKLAND UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-ALTERATIONS TO UNITS A,B,C,D,E,F,G,H&I",2,628050,BELLA VISTA ELEMENTARY,62805004241,478610,0,,0,478610,1998,805,54256,594.5466,8.821328,,283,80,,0,27286,12374,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
SAN PEDRO HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-CONSTRUCTION OF RETAINING WALLS, LIGHT POLES, GRANDSTANDS, ELECTRICAL ROOM, AND SITEWORK.",15,622710,SAN PEDRO HIGH,62271003330,1473180,3874868,,3874868,3874868,1999,3186,710007,1216.217,5.457507,,344,1670,,0,94664,480655,0,0,1,0,0,1,1,0,0,0,,1216.217,,1216.217,1216.217,,,1216.217,,1216.217,1216.217,
MEYLER ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),10,622710,MEYLER ELEMENTARY,62271003182,1705524,1546894,-3073.35,0,1543821,2004,1066,741367,1448.237,2.082398,55,55,861,876,68132,88271,541514,558973,0,0,1,0,0,1,0,0,0,1448.237,,,,1448.237,,1448.237,,,,1448.237,
FULTON ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"RELOCATION OF 2-CLASSROOM BUILDINGS (RELOCATABLE, STOCK 04-103375)",10,634320,FULTON ELEMENTARY,63432005466,17468.05,325014.9,,0,325014.9,2008,492,131890,660.5994,2.464288,6,228,151,407,33159,17712,58207,81418,0,1,0,0,0,0,0,0,0,,660.5994,,,,,,660.5994,,,,
MEYLER STREET ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-2 - C.R. BLDG/S (RELOCATION),4,622710,MEYLER STREET ELEMENTARY,62271003182,34350,0,,0,34350,2000,1125,721346,30.53333,0.0476193,99,108,763,895,72404,93532,496505,520214,0,1,0,0,0,0,0,0,0,,30.53333,,,,,,30.53333,,,,
KENTER CANYON ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-LIBRARY BLDG;, ALTERATIONS TO 1-C.R. BLDG (A # 11936)",5,622710,KENTER CANYON ELEMENTARY,62271003113,403152.3,403152.3,,0,403152.3,2002,445,746852,905.9602,0.5398021,328,26,35,34,70746,91195,524821,534883,0,1,0,1,0,0,0,0,0,,905.9602,905.9602,,,,,905.9602,905.9602,,,
LAUREL RUFF LEARNING CENTER (SAN JUAN USD),SAN JUAN UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-3 CLASSROOM BUILDINGS, MULTI-PURPOSE BUILDING, AND ADMINISTRATION BUILDING",5,634620,LAUREL RUFF LEARNING CENTER (SAN JUAN USD),63462011079,967404.3,2210553,150743.8,0,2361297,2001,0,51383,,45.95483,0,0,0,0,37762,3225,5195,14488,0,1,0,1,0,0,1,0,0,,,,,,,,,,,,
BURROUGHS MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-RETAINING WALL [NEXT TO AUDITORIUM BLDG.],8,622710,BURROUGHS MIDDLE,62271002875,105954.5,76730.89,,0,76730.89,2001,2221,735058,34.5479,0.1043875,249,390,679,1294,71178,92096,510367,530100,0,0,0,0,1,1,0,0,0,,,,34.5479,34.5479,,,,,34.5479,34.5479,
VARIOUS  SAN DIEGO USD,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATIONS TO:  BOILER REPLACEMENT (24) TOTAL AT TWENTY (20)  SITES;,3,634320,VARIOUS SAN DIEGO USD,999999,771072.6,115483.5,,0,115483.5,2000,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
CARVER MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-GYMNASIUM BLDG (A# 18439, 03-104902, AND 03-108071).",14,622710,CARVER MIDDLE,62271002902,835407.2,548017.6,,0,548017.6,2008,1963,684143,279.1735,0.8010279,1,132,2039,1951,59978,74519,504866,469364,0,0,0,0,1,0,0,0,0,,,,279.1735,,,,,,279.1735,,
GREENLEAF AT WHITTIER ELEMENTARY SCHOOL,OAKLAND UNIFIED SCHOOL DISTRICT,RELOCATION OF 2-CLASSROOM BUILDINGS (RELOCATABLE),14,628050,GREENLEAF AT WHITTIER ELEMENTARY,62805004324,0,201152.3,76278.78,277431.1,277431.1,2013,0,47028,,5.899275,0,0,0,0,4272,13398,19425,35794,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,
MELVIN ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-2 RELOCATABLE CLSRM BLDGS (PC-02-104915) AND RELOCATABLE TOILET BLDG (PC-04-108389),9,622710,MELVIN ELEMENTARY,62271003179,406203.9,693781.6,,0,693781.6,2006,673,703722,1030.879,0.9858746,110,32,426,492,64272,82884,532152,558949,0,1,0,0,0,1,0,0,0,,1030.879,,,1030.879,,,1030.879,,,1030.879,
DENKER AVENUE ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-2 HCD APPROVED CLSRM  BUILDINGS (PARTIAL CERT),8,622710,DENKER AVENUE ELEMENTARY,62271002955,58013.33,62480.36,,0,62480.36,1998,1030,695885,60.66054,0.0897855,,174,510,,0,93867,466259,0,0,1,0,0,0,0,0,0,0,,60.66054,,,,,,60.66054,,,,
WESTSIDE LEADERSHIP MAGNET,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-NEW LUNCH SHELTER,15,622710,WESTSIDE LEADERSHIP MAGNET,62271012631,136442.5,309169.2,26645.87,335815.1,335815.1,2000,0,721346,,0.4655395,0,0,0,0,72404,93532,496505,520214,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,
GRIFFITH MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),15,622710,GRIFFITH MIDDLE,62271003058,4765425,4137882,478538.7,0,4616420,2004,2251,741367,2050.831,6.226902,10,12,2257,1994,68132,88271,541514,558973,0,0,1,0,0,1,0,0,0,2050.831,,,,2050.831,,2050.831,,,,2050.831,
FRANKLIN ELEMENTARY SCHOOL,OAKLAND UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-RECONSTRUCTION/REHABILITATION OF:BUILDING A (ADMIN. & CLASSROOMS). B (CLASSROOMS) AND D (MULTI-PURPOSE),4,628050,FRANKLIN ELEMENTARY,62805004261,1334974,2403749,,0,2403749,1999,911,55051,2638.583,43.66404,,208,257,,0,26868,13402,0,0,1,0,1,0,0,1,0,0,,2638.583,2638.583,,,2638.583,,2638.583,2638.583,,,2638.583
BURBANK MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-1 - RELOCATABLE TOILET BLDG (12X40) PER PC#04-104800 AND ACCESSIBLE RAMP PER PC#04-104775, RELOCATION OF 1-2 - RELOCATABLE C.R. BLDGS (48X40) PER STOCKPILE A#02-107583 AND PC#02-104917",14,622710,BURBANK MIDDLE,62271002874,572254.6,1379278,,0,1379278,2007,344,685249,4009.528,2.012813,86,47,217,333,61671,77938,514197,518046,0,1,0,1,1,1,0,0,0,,4009.528,4009.528,4009.528,4009.528,,,4009.528,4009.528,4009.528,4009.528,
RUSSELL ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CONSTRUCTION OF LUNCH SHELTER,11,622710,RUSSELL ELEMENTARY,62271003321,106991.8,134022.2,,0,134022.2,1999,1309,710007,102.3852,0.1887618,,283,986,,0,94664,480655,0,0,0,0,0,0,1,0,0,0,,,,,102.3852,,,,,,102.3852,
JOHNSON OPPORTUNITY HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-MULTI-PURPOSE BLDG,7,622710,JOHNSON OPPORTUNITY HIGH,62271003031,659983.1,421318.7,,0,421318.7,2002,133,746852,3167.81,0.5641261,0,62,85,90,70746,91195,524821,534883,0,0,0,1,0,0,0,0,0,,,3167.81,,,,,,3167.81,,,
BURROUGHS  ELEMENTARY (FRESNO USD),FRESNO UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-C.R. BLDG,10,614550,BURROUGHS ELEMENTARY,61455001712,2440990,1600792,177683.5,0,1778475,2003,1160,81408,1533.168,21.84645,35,53,829,1137,14916,9395,42420,61823,0,1,0,0,0,0,0,0,0,,1533.168,,,,,,1533.168,,,,
PEREZ SPECIAL EDUCATION CENTER,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-CR/OFFICE/MP/PHYSICAL EDUCATION BLDG. [NORTH BUILDING- A# 41761],12,622710,PEREZ SPECIAL EDUCATION CENTER,62271012837,0,1498410,47378.43,0,1545788,2007,0,685249,,2.255805,0,0,0,0,61671,77938,514197,518046,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,
VARIOUS   SAN DIEGO CITY SCHOOLS,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-THREE LUNCH SHELTERS: 1 @ TWAIN JR. & SENIOR HS: 1 @ LINDA VISTA ES ANNEX; 1 @ LINDA VISTA ES (PC-04-102537) AND RELATED SITE WORK,6,634320,VARIOUS  SAN DIEGO CITY S,999999,490704.3,344715.3,,0,344715.3,2001,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
STOCKPILE (LA UNIFIED SD),LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-6 - RELOCATABLE C.R. BLDG/S,10,622710,STOCKPILE (LA UNIFIED SD),999999,532717.5,532717.5,,0,532717.5,2006,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,
MAYALL ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),8,622710,MAYALL ELEMENTARY,62271003174,1238690,1017191,31885.58,0,1049076,2004,464,741367,2260.94,1.415056,125,34,270,338,68132,88271,541514,558973,0,0,1,0,0,1,0,0,0,2260.94,,,,2260.94,,2260.94,,,,2260.94,
CALAHAN STREET ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-LUNCH SHADE,11,622710,CALAHAN STREET ELEMENTARY,62271002885,18394.1,45785.37,,0,45785.37,2005,465,727319,98.46317,0.0629509,140,64,199,234,66438,86362,539906,556015,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
OSCEOLA ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-AUDITORIUM BLDG,7,622710,OSCEOLA ELEMENTARY,62271003254,101893.3,271049.6,19021.37,0,290070.9,2001,504,735058,575.5376,0.3946232,17,10,494,435,71178,92096,510367,530100,0,0,0,0,1,0,0,0,0,,,,575.5376,,,,,,575.5376,,
FULTON ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"RELOCATION OF 1-SCIENCE/LAB RELO 48X40 (STOCKPILE 04-110219), 1-TOILET RELO (04-101447), 1-MUSIC RELO 36X40 (STOCKPILE 04-110219), 16-C.R. RELOS (A#28997, 66431, 04-101282), ALTERATIONS TO 4-PRESCHOOL RELOS (B8 - B11 A#66341), 2-CHANGING ROOM RELOS (B14, 15 A#66341)",10,634320,FULTON ELEMENTARY,63432005466,2701202,3014114,-100069.1,0,2914045,2007,465,131208,6266.764,22.20935,8,190,123,338,32949,17479,57058,79606,0,1,0,0,0,1,0,0,0,,6266.764,,,6266.764,,,6266.764,,,6266.764,
MARVIN ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),13,622710,MARVIN ELEMENTARY,62271003172,0,1038423,157541,0,1195964,2004,1057,741367,1131.47,1.613188,14,205,848,1013,68132,88271,541514,558973,0,0,1,0,0,1,0,0,0,1131.47,,,,1131.47,,1131.47,,,,1131.47,
HOLLENBECK MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),15,622710,HOLLENBECK MIDDLE,62271003087,3658142,4092890,958943.8,5051834,5051834,2004,2798,741367,1805.516,6.814215,7,32,2813,2615,68132,88271,541514,558973,0,0,1,0,0,1,0,0,0,1805.516,,,,1805.516,,1805.516,,,,1805.516,
LINCOLN HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-CHILLER ENCLOSURE., ALTERATIONS TO 1-ADMIN.BLDG; HOME ECONOMICS BLDG. AND AUDITORIUM BLDG.",13,622710,LINCOLN HIGH,62271003139,1322195,1241541,63002.2,1304543,1304543,2002,2920,746852,446.7613,1.746722,8,28,2263,2214,70746,91195,524821,534883,0,0,1,0,1,0,1,0,0,446.7613,,,446.7613,,446.7613,446.7613,,,446.7613,,446.7613
RINALDI ADULT CENTER,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-MARQUEE,7,622710,RINALDI ADULT CENTER,999999,12129.79,15287.17,,0,15287.17,2005,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,
CLAREMONT MIDDLE SCHOOL -OAKLAND USD,OAKLAND UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-TRASH ENCLOSURE, ALTERATIONS TO 1-LANDSCAPE IMPROVEMENTS",16,628050,CLAREMONT MIDDLE,62805004250,142591.4,738120.4,36072.66,774193.1,774193.1,2011,455,46193,1701.523,16.75997,53,309,68,317,3719,14356,18430,31860,0,0,0,0,1,0,0,0,0,,,,1701.523,,,,,,1701.523,,
ARCADE MIDDLE (SAN JUAN USD),SAN JUAN UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-ALTERATIONS TO GAS INFRASTRUCTURE @ CLSRM, MULTI-PURPOSE, SHOWER/LOCKER, ADMIN, LIBRARY, BUS GARAGE & MUSIC RM BLDGS",2,634620,ARCADE MIDDLE,63462005752,166776,286454.4,-16666.92,0,269787.5,2001,581,51383,464.3502,5.25052,449,18,66,97,37762,3225,5195,14488,0,1,0,1,0,1,1,0,0,,464.3502,464.3502,,464.3502,464.3502,,464.3502,464.3502,,464.3502,464.3502
BARRETT ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM SYSTEM UPGRADE),15,622710,BARRETT ELEMENTARY,62271003221,0,1440004,321089.1,1761093,1761093,2006,1177,703722,1496.255,2.50254,4,388,805,1178,64272,82884,532152,558949,0,1,0,0,0,1,0,0,0,,1496.255,,,1496.255,,,1496.255,,,1496.255,
MARSHALL HIGH SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE SCHOOL (FIRE ALARM SYSTEM),2,622710,MARSHALL HIGH,62271003171,217550,638146.7,153750.1,0,791896.8,1998,4368,695885,181.2951,1.137971,,123,2827,,0,93867,466259,0,0,1,0,0,0,1,0,0,0,,181.2951,,,181.2951,,,181.2951,,,181.2951,
GEORGE ELLERY HALE MIDDLE SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,"ALTERATIONS TO 1-ENTIRE CAMPUS (MODERNIZATION-ACS, ASPHALTIC CONCRETE RESURFACES)",15,622710,GEORGE ELLERY HALE MIDDLE,62271003062,785547.9,643920.9,-21090.55,622830.3,622830.3,2004,2280,741367,273.1712,0.8401107,1189,266,678,824,68132,88271,541514,558973,0,1,0,0,0,1,0,0,1,,273.1712,,,273.1712,,,273.1712,,,273.1712,
